SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,19302 34TH Dr SE,Bothell,WA,98012,499000,3,1.75,Bothell,1920,10454,1972,1,260,,Active,February-2-2020 12:00 AM,February-2-2020 11:59 PM,http://www.redfin.com/WA/Bothell/19302-34th-Dr-SE-98012/home/2677799,NWMLS,1559590,N,Y,47.8224243,-122.1872618
MLS Listing,,Townhouse,3605 192nd St SE #4,Bothell,WA,98012,589995,3,2.5,North Creek,1519,2631,2020,1,388,190,Active,February-1-2020 10:00 AM,February-1-2020 05:00 PM,http://www.redfin.com/WA/Bothell/3605-192nd-St-SE-98012/unit-4/home/170483416,NWMLS,1560613,N,Y,47.8231724,-122.1846291
MLS Listing,,Single Family Residential,22129 44th (Homesite North 43) Dr SE,Bothell,WA,98021,847900,5,2.75,Canyon Park,2631,3360,2020,1,322,,Active,,,http://www.redfin.com/WA/Bothell/22129-43rd-Dr-SE-98021/home/170481426,NWMLS,1560555,N,Y,47.796378,-122.173352
MLS Listing,,Single Family Residential,22121 44th (Homesite North 41) Dr SE,Bothell,WA,98021,938850,5,4.0,Canyon Park,3260,4365,2020,1,288,,Active,,,http://www.redfin.com/WA/Bothell/22121-41st-Dr-SE-98021/home/170481326,NWMLS,1560546,N,Y,47.796619,-122.173373
MLS Listing,,Single Family Residential,22125 44th (Homesite North 42) Dr SE,Bothell,WA,98021,826800,4,2.75,Canyon Park,2425,3178,2020,1,341,,Active,,,http://www.redfin.com/WA/Bothell/22125-42nd-Dr-SE-98021/home/170481307,NWMLS,1560552,N,Y,47.796619,-122.174124
MLS Listing,,Single Family Residential,34 232nd  (Lot 15) Pl S,Bothell,WA,98021,1224995,4,3.0,Bothell,3145,7362,2019,1,390,107,Active,,,http://www.redfin.com/WA/Bothell/34-232nd-Pl-SW-98021/home/170474679,NWMLS,1558063,N,Y,47.7871726,-122.2338017
MLS Listing,,Single Family Residential,3626 184th Pl SE,Bothell,WA,98012,950000,5,3.25,Bothell,3662,6970,2008,1,259,63,Active,February-2-2020 12:00 PM,February-2-2020 02:00 PM,http://www.redfin.com/WA/Bothell/3626-184th-Pl-SE-98012/home/21500941,NWMLS,1554786,N,Y,47.8300037,-122.1837664
MLS Listing,,Single Family Residential,20411 4th Dr SE,Bothell,WA,98012,988000,5,2.75,Canyon Park,3003,6098,2019,1,329,,Active,February-2-2020 12:00 PM,February-2-2020 03:00 PM,http://www.redfin.com/WA/Bothell/20411-4th-Dr-SE-98012/home/167240403,NWMLS,1559356,N,Y,47.812318078,-122.2245817
MLS Listing,,Single Family Residential,107 180th Pl SW Unit CT 11,Bothell,WA,98012,689950,4,3.25,Mill Creek,2581,3238,2020,1,267,50,Active,,,http://www.redfin.com/WA/Martha-Lake/107-180th-Pl-SW-98012/unit-CT-11/home/170470708,NWMLS,1558773,N,Y,47.834331,-122.236772
MLS Listing,,Single Family Residential,20021 107th Ave NE,Bothell,WA,98011,929000,4,2.5,Bothell,2820,9300,1972,1,329,,Active,,,http://www.redfin.com/WA/Bothell/20021-107th-Ave-NE-98011/home/285818,NWMLS,1560175,N,Y,47.7734968,-122.1986124
MLS Listing,,Townhouse,14915 38th Dr SE #1165,Bothell,WA,98012,389000,2,2.25,Mill Creek,1407,399159,2007,2,276,357,Active,February-2-2020 12:00 PM,February-2-2020 02:00 PM,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-1165/home/22961508,NWMLS,1558514,N,Y,47.8625823,-122.1801939
MLS Listing,,Single Family Residential,15114 111th Ave NE,Bothell,WA,98011,639000,3,1.75,Juanita,1290,8400,1976,2,495,,Active,February-2-2020 11:00 AM,February-2-2020 01:00 PM,http://www.redfin.com/WA/Bothell/15114-111th-Ave-NE-98011/home/457404,NWMLS,1560130,N,Y,47.7376966,-122.1921375
MLS Listing,,Mobile/Manufactured Home,21620 8th Pl W,Bothell,WA,98021,385000,3,2.0,Bothell,1404,7841,1987,2,274,,Active,,,http://www.redfin.com/WA/Bothell/21620-8th-Pl-W-98021/home/2756341,NWMLS,1559103,N,Y,47.8018996,-122.2449147
MLS Listing,,Single Family Residential,30 194th St SW,Bothell,WA,98012,565000,4,2.25,Bothell,1659,3028,2011,2,341,58,Active,February-2-2020 10:00 AM,February-2-2020 12:00 PM,http://www.redfin.com/WA/Bothell/30-194th-St-SW-98012/unit-34/home/28656893,NWMLS,1560092,N,Y,47.8223227,-122.2341507
MLS Listing,,Single Family Residential,22918 38th Ave SE,Bothell,WA,98021,688880,4,2.5,Canyon Park,2204,20473,1975,2,313,,Active,February-2-2020 11:00 AM,February-2-2020 02:00 PM,http://www.redfin.com/WA/Bothell/22918-38th-Ave-SE-98021/home/2772150,NWMLS,1558320,N,Y,47.789674,-122.183407
MLS Listing,,Single Family Residential,20931 29th Ave SE,Bothell,WA,98021,675000,3,2.5,Bothell,2944,17424,1979,2,229,,Active,,,http://www.redfin.com/WA/Bothell/20931-29th-Ave-SE-98021/home/2780984,NWMLS,1559226,N,Y,47.8076968,-122.1931554
MLS Listing,,Townhouse,16384 118th Ct NE Unit 35-3,Bothell,WA,98011,428500,2,2.5,Bothell,1129,594342,1998,2,380,500,Active,February-2-2020 01:00 PM,February-2-2020 03:00 PM,http://www.redfin.com/WA/Bothell/16384-118th-Ct-NE-98011/unit-35-3/home/57726,NWMLS,1559453,N,Y,47.7463035,-122.1821598
MLS Listing,,Single Family Residential,17932 Circle Dr,Bothell,WA,98011,1150000,4,2.75,Downtown Bothell,3145,9759,2016,2,366,,Active,,,http://www.redfin.com/WA/Bothell/17932-Circle-Dr-98011/home/106723831,NWMLS,1559403,N,Y,47.7579408,-122.1954116
MLS Listing,,Townhouse,2201 192nd St SE Unit L1,Bothell,WA,98012,410000,3,2.25,Thrashers Corner,1529,,1999,2,268,480,Active,February-2-2020 12:00 PM,February-2-2020 02:00 PM,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/unit-L1/home/2866543,NWMLS,1558506,N,Y,47.8253977,-122.20303
MLS Listing,,Mobile/Manufactured Home,20512 32nd Dr SE,Bothell,WA,98012,399950,3,2.0,Canyon Park,1539,8276,2004,2,260,175,Active,,,http://www.redfin.com/WA/Bothell/20512-32nd-Dr-SE-98012/home/2660855,NWMLS,1559432,N,Y,47.8115011,-122.1896454
MLS Listing,,Single Family Residential,18328 38th Dr SE,Bothell,WA,98012,574950,3,2.5,Bothell,1755,2171,2006,2,328,125,Active,February-2-2020 11:00 AM,February-2-2020 02:00 PM,http://www.redfin.com/WA/Bothell/18328-38th-Dr-SE-98012/home/12104462,NWMLS,1559906,N,Y,47.8311028,-122.1812166
